name_clean,geometry
,"LINESTRING (31.9982119 36.5513677, 31.9988748 36.5513641, 31.9996536 36.551359, 32.0013462 36.5512442, 32.003121 36.5511453, 32.0042934 36.5511376, 32.0045735 36.5511111, 32.0049522 36.5509491, 32.005023 36.5507387, 32.0050443 36.5504544, 32.0053734 36.5501615, 32.0056778 36.5499, 32.0057486 36.5496498, 32.0057273 36.5493398, 32.0059715 36.5491039, 32.0062405 36.5488053, 32.0062653 36.5485352, 32.0061449 36.5476936, 32.0059963 36.547287)"
,"LINESTRING (31.9987547 36.5570797, 31.9998782 36.5568986, 32.000714 36.5565403, 32.0016085 36.5561638, 32.0025123 36.5557995, 32.0033021 36.5554246, 32.003794 36.5551806, 32.0060139 36.5541967, 32.0070562 36.5537673, 32.0077588 36.5535937, 32.0097301 36.5531589)"
,"LINESTRING (32.0059963 36.547287, 32.0057556 36.5470226, 32.0050549 36.5463175, 32.0044107 36.5458057, 32.0035189 36.5450095, 32.0020253 36.5436277, 32.0018519 36.5434343, 32.0017206 36.5433034)"
,"LINESTRING (32.0137993 36.5521602, 32.014035 36.5520433, 32.0143435 36.5518903, 32.014719 36.5516856, 32.0150516 36.5514637, 32.0153976 36.551203, 32.0156792 36.5509767, 32.0159448 36.5506622, 32.0161057 36.5504144, 32.0163552 36.5499059, 32.0164463 36.5495525, 32.0166287 36.5486195, 32.0167012 36.5483846, 32.0168755 36.5476477, 32.0169828 36.5473762, 32.0173315 36.5467685, 32.0175997 36.5464884, 32.0178505 36.5462766, 32.0181584 36.5460719, 32.0186999 36.5458245, 32.0192131 36.5456483, 32.0195069 36.5455516, 32.0198608 36.5454947, 32.0203244 36.5454464, 32.0204872 36.5454265, 32.0227115 36.5453347)"
,"LINESTRING (32.0137993 36.5521602, 32.0135237 36.5520552, 32.0127345 36.5517626, 32.0124963 36.55165, 32.0119639 36.5513237, 32.0114736 36.5511398, 32.0112074 36.5510385, 32.0109459 36.5508547, 32.0104649 36.5502957, 32.0099652 36.5500444, 32.0095657 36.5498755, 32.0087481 36.5495485, 32.0081429 36.5491931, 32.0078633 36.5490197, 32.0074776 36.5488463, 32.007021 36.5485363, 32.0067874 36.5483004, 32.0059963 36.547287)"
,"LINESTRING (32.0233504 36.5452815, 32.0231452 36.5451052, 32.0229296 36.5449818, 32.0223792 36.5447693, 32.021839 36.5445552, 32.0209581 36.5441895, 32.0201015 36.5437944, 32.0180452 36.5428873, 32.017755 36.5425035, 32.0175355 36.5420315)"
,"LINESTRING (32.0233504 36.5452815, 32.0245316 36.5452068, 32.0249258 36.545149, 32.0251638 36.5451142, 32.0253218 36.5450911, 32.0257725 36.5452676, 32.0261413 36.5453378, 32.0263954 36.5453589, 32.0268881 36.5453519, 32.0275077 36.5452808, 32.027741 36.5452398, 32.0284358 36.5452484, 32.0286744 36.5452441, 32.0293938 36.5452093, 32.0296106 36.5452015, 32.0301369 36.5451779, 32.0304207 36.5451, 32.0312349 36.5448734, 32.0320564 36.5446252, 32.0325137 36.5444807, 32.0330244 36.5443243, 32.0337078 36.5440922, 32.0349583 36.5434758, 32.0352113 36.5433495, 32.0354448 36.5432205, 32.0358309 36.5430298, 32.0362294 36.5428119, 32.0366459 36.5425057, 32.0369471 36.5421802, 32.037066 36.5420934)"
,"LINESTRING (32.0227115 36.5453347, 32.0233504 36.5452815)"
,"LINESTRING (32.037066 36.5420934, 32.0371244 36.542015, 32.037353 36.541749, 32.0364878 36.5416856, 32.0360155 36.541566, 32.0356733 36.5413729, 32.0349295 36.5410175, 32.0346237 36.5408003, 32.0343295 36.5406052, 32.0337084 36.5398585, 32.0333824 36.5394535, 32.0324317 36.5384945, 32.0322699 36.5382621, 32.0322101 36.5380556, 32.0322653 36.5377687, 32.0323405 36.5373585, 32.0324074 36.537019, 32.0325735 36.5365998, 32.0328329 36.5363117, 32.0329715 36.536084, 32.0328659 36.535752, 32.0327601 36.5356462, 32.0325861 36.535419, 32.0324198 36.5351692)"
,"LINESTRING (32.037066 36.5420934, 32.037201 36.5421625, 32.0372749 36.5423011, 32.0372872 36.5425387, 32.0372379 36.5428655, 32.0371517 36.5432913, 32.0371459 36.5439577, 32.0375091 36.543933, 32.0379281 36.5440141, 32.0386922 36.5446081, 32.0400602 36.5455586, 32.0399493 36.5458656, 32.039826 36.5460636, 32.0399123 36.5462319, 32.0400972 36.5463705, 32.0404176 36.5466378, 32.0406025 36.5468062, 32.0407873 36.5468854, 32.0408982 36.5470537, 32.0410691 36.5472268, 32.0410944 36.5473648, 32.0412781 36.5475473, 32.0411296 36.5480345, 32.0408157 36.5483909, 32.040688 36.5484762, 32.0404828 36.5486537, 32.0398882 36.5493121, 32.0398171 36.5498821, 32.0405481 36.5497791, 32.041778 36.5494844)"
