name_clean,geometry
duaçınarı-şükraniye mahalle sınırı,"LINESTRING (29.0937216 40.1917444, 29.0967226 40.1917351)"
beyazıt-152 evler mahalle sınırı,"LINESTRING (29.0994628 40.1916991, 29.0994637 40.191579, 29.0994631 40.1908671, 29.0995371 40.1901751, 29.0992649 40.1901589, 29.0995541 40.1893662, 29.0995144 40.1892146, 29.099703 40.1882317, 29.100253 40.188219, 29.101664 40.1882415, 29.1017825 40.1877332, 29.1018846 40.1877288, 29.1021685 40.1871424, 29.1024631 40.1867382, 29.1020412 40.1865592, 29.1022723 40.1860962, 29.1023024 40.1858276, 29.1026707 40.1857969, 29.1030725 40.1851933, 29.1032538 40.1851766, 29.1035143 40.1847785, 29.1035805 40.1844006)"
sinandede-mehmet akif ersoy mahalle sınırı,"LINESTRING (29.0938272 40.1865194, 29.0933554 40.1862168, 29.0928254 40.1859485, 29.0925173 40.1857885, 29.092277 40.1854872, 29.0920182 40.1852518, 29.0917717 40.1852047, 29.0917491 40.1850195, 29.090661 40.1850587, 29.0905816 40.1848161, 29.0904835 40.1844843, 29.0904088 40.184181, 29.0903948 40.1839135, 29.0899231 40.1839634, 29.0878216 40.1840954)"
sinandede-davutkadı mahalle sınırı,"LINESTRING (29.0878216 40.1840954, 29.0869157 40.1841489, 29.0854399 40.1841454, 29.0854119 40.1842453, 29.0849262 40.1841454, 29.0847878 40.1845026, 29.0839749 40.1844553)"
davutkadı-mehmet akif ersoy mahalle sınırı,"LINESTRING (29.0878216 40.1840954, 29.0875226 40.1827085, 29.0888948 40.1824464)"
davutkadı-yediselviler mahalle sınırı,"LINESTRING (29.0888948 40.1824464, 29.0887361 40.1813417, 29.0882371 40.1814933, 29.088067 40.1806312)"
davutkadı-sıracevizler mahalle sınırı,"LINESTRING (29.0877425 40.1771983, 29.087775 40.177717, 29.0877628 40.1780649, 29.0881287 40.1780338, 29.088149 40.1782916, 29.0880271 40.178301, 29.0880393 40.178857, 29.0879539 40.178857, 29.0880718 40.1794409, 29.0880962 40.1801336, 29.088136 40.180624)"
mehmet akif ersoy-yediselviler mahalle sınırı,"LINESTRING (29.0888948 40.1824464, 29.0905613 40.1825692, 29.0916434 40.1828148, 29.0924576 40.1829641, 29.0931936 40.1830138, 29.093858 40.182989, 29.0943465 40.1828994, 29.095788 40.1825391)"
emirsultan-karamazak mahalle sınırı,"LINESTRING (29.0777727 40.1802255, 29.0781631 40.1801267, 29.0785818 40.180077, 29.0791103 40.1800397, 29.0793339 40.1800645, 29.0796673 40.1801235, 29.0801145 40.1801329, 29.0803096 40.1800707, 29.0804519 40.1799558, 29.0804844 40.1797601, 29.0804194 40.1795676, 29.0802893 40.1794837, 29.080147 40.1794464, 29.080025 40.179375, 29.0799925 40.1792756, 29.0800982 40.1790892, 29.0802649 40.1788345, 29.0803544 40.1785301, 29.080273 40.1781201)"
yeşil-karamazak mahalle sınırı,"LINESTRING (29.0770332 40.180267, 29.0772186 40.1798944, 29.0772977 40.1796527)"
yeşil-namazgah mahalle sınırı,"LINESTRING (29.0772977 40.1796527, 29.0767156 40.1796236, 29.0764205 40.1796441, 29.0761899 40.1796236, 29.0760129 40.1795294, 29.0758412 40.1793777, 29.0756803 40.1793367, 29.0756159 40.1796113, 29.0753477 40.179763, 29.0752404 40.1799392, 29.0750526 40.1800909, 29.0745913 40.1799187, 29.0741138 40.1797384, 29.0740173 40.1799515, 29.0737361 40.1800131)"
kurtoğlu-yeşil mahalle sınırı,"LINESTRING (29.0720296 40.1825375, 29.0726539 40.1817977, 29.0729008 40.1814833, 29.0730504 40.181026, 29.0733048 40.1805687, 29.0737361 40.1800131)"
millet-vatan mahalle sınırı,"LINESTRING (29.09479 40.2060847, 29.0934025 40.2067282, 29.0930858 40.2063314, 29.0921861 40.2066556, 29.0919581 40.2061379, 29.0917047 40.2060411, 29.087853 40.2062045)"
millet-kazım karabekir mahalle sınırı,"LINESTRING (29.09479 40.2060847, 29.0953716 40.2065612, 29.0957073 40.2068515, 29.0961191 40.2071418, 29.0965436 40.2073547, 29.0969997 40.2075482, 29.0972848 40.2077176, 29.0977093 40.2082691, 29.0985456 40.2092368, 29.098894 40.2095029, 29.0992298 40.2096819, 29.0998316 40.20989, 29.1000933 40.2099731, 29.1005475 40.2101173, 29.1008643 40.2103689, 29.1011937 40.2107221, 29.1014471 40.2108624, 29.1017512 40.2109737)"
